representation,representation_key,model_seed,draw,context_fid,correlational_score,discriminative_score,predictive_score,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
STFT / Spectrogram,stft_spectrogram,0,100001,0.9790610016512652,0.11206525564193726,0.1699186991869919,0.1141857794943159,0.0013822955857484508,0.024705063578622583,0.019008612681868684,0.007402954160707728,0.011792186226962528,0.06520658393565765
STFT / Spectrogram,stft_spectrogram,0,100002,0.9089738399067845,0.10888499021530151,0.16951219512195126,0.11466267573344642,0.0013533292568907592,0.023999855505436526,0.017993455483674283,0.007262181071060681,0.011622508747730118,0.0650028566113946
STFT / Spectrogram,stft_spectrogram,0,100003,0.9163573833182115,0.11268220841884613,0.17337398373983745,0.11485683538937035,0.0013390257849088248,0.022298302631120846,0.018806676019321487,0.0072500132262556145,0.011533987854744937,0.0647894411670919
STFT / Spectrogram,stft_spectrogram,0,100004,0.9703408023930434,0.09866056591272354,0.18008130081300813,0.11501432534381213,0.0013998251034720794,0.02361266640385125,0.018915162046913434,0.0074528793805856315,0.011925264385414823,0.06532616301729033
STFT / Spectrogram,stft_spectrogram,42,100000,1.1347002870429483,0.08808720856904984,0.16483739837398378,0.1185129911847677,0.0014488307088940983,0.03329768078646019,0.019827025472281583,0.007341492541577715,0.011872693876341218,0.0682771643813776
STFT / Spectrogram,stft_spectrogram,42,100001,1.144036035977027,0.09747699648141861,0.16463414634146345,0.11489629357871915,0.0014552089826075016,0.0286166755384315,0.01976874164391864,0.007401483330148291,0.01193147302139768,0.06809059886975627
STFT / Spectrogram,stft_spectrogram,42,100002,1.0863279502257626,0.09480055421590805,0.15731707317073174,0.11652798595605418,0.0014280622303068367,0.03183077983750979,0.018840029719791755,0.0073187236960636955,0.01182860460078957,0.06849362466340708
STFT / Spectrogram,stft_spectrogram,42,100003,1.0431973755614983,0.09872190654277802,0.17398373983739843,0.11454353044155141,0.0014075006406708377,0.029468280543579646,0.019024016921405235,0.007265909622076683,0.011718223154099032,0.06816838063350344
STFT / Spectrogram,stft_spectrogram,42,100004,1.153972000400089,0.0842507928609848,0.15121951219512197,0.11544173660877277,0.001476435494544326,0.032702578838335515,0.01936808290602262,0.007551740886955413,0.012241158800916134,0.06914549674036286
STFT / Spectrogram,stft_spectrogram,123,100000,1.098473224992092,0.11171142756938934,0.18434959349593497,0.11883383821759708,0.0015614193800393542,0.01501680543716705,0.020673785457190206,0.007770328719004321,0.012135801045479337,0.05998828567885495
STFT / Spectrogram,stft_spectrogram,123,100001,1.1573647107464027,0.12039729207754135,0.1869918699186992,0.11620181467954656,0.0015760523433251041,0.01683053331412618,0.021170463127981133,0.007920754509406682,0.012254984795734197,0.05934250327735269
STFT / Spectrogram,stft_spectrogram,123,100002,1.1020169836382834,0.11706210672855377,0.1863821138211382,0.11764462383037728,0.0015589170674173694,0.018161112236152667,0.01991430186322572,0.007878091349016313,0.012218473540340252,0.05947094006873588
STFT / Spectrogram,stft_spectrogram,123,100003,1.0894144300422175,0.12230221927165985,0.1890243902439024,0.11659331025687909,0.0015335368902381712,0.01657903267237619,0.020882000951847477,0.0077718139940010575,0.012015389810709994,0.05899511497307264
STFT / Spectrogram,stft_spectrogram,123,100004,1.1379292109652777,0.10935036838054657,0.1920731707317073,0.11709300489807599,0.001579820774694943,0.015127935524407951,0.020838626960167778,0.007934905327445639,0.012323479512284227,0.05971258946286856
