dataset,seed,window,site,confidence,normalized_confidence,gate,topk_mass,spectral_entropy,top1_period,candidate_vector,sh64_error,cg64_error,paired_error_improvement
ETTh,0,50,decoder,0.05777272802482805,0.40446606,0.55334955,0.5506804504234798,0.8950884710354251,21,"[21, 12, 32, 10, 16, 64, 8, 9, 5]",1.9441537,2.1644828,-0.22032917
ETTh,0,51,encoder,0.05847044023104376,0.41780782,0.56335586,0.5522627717877069,0.8941256894036664,21,"[21, 12, 32, 10, 16, 64, 8, 9, 5]",1.7004569,2.179554,-0.47909713
ETTh,0,51,decoder,0.05847044023104376,0.41780782,0.56335586,0.5522627717877069,0.8941256894036664,21,"[21, 12, 32, 10, 16, 64, 8, 9, 5]",1.7004569,2.179554,-0.47909713
ETTh,0,52,encoder,0.058608906195436156,0.42045555,0.56534165,0.5506637934880392,0.8935668063008229,21,"[21, 12, 32, 10, 16, 64, 8, 5, 9]",2.0090613,2.3598888,-0.35082746
ETTh,0,52,decoder,0.058608906195436156,0.42045555,0.56534165,0.5506637934880392,0.8935668063008229,21,"[21, 12, 32, 10, 16, 64, 8, 5, 9]",2.0090613,2.3598888,-0.35082746
ETTh,0,53,encoder,0.06003604735544235,0.44774547,0.5858091,0.5540164461503628,0.891634900421082,21,"[21, 12, 32, 10, 16, 64, 8, 5, 9]",1.5685354,2.2293298,-0.6607944
ETTh,0,53,decoder,0.06003604735544235,0.44774547,0.5858091,0.5540164461503628,0.891634900421082,21,"[21, 12, 32, 10, 16, 64, 8, 5, 9]",1.5685354,2.2293298,-0.6607944
ETTh,0,54,encoder,0.06297353764391507,0.5039165,0.6279374,0.5623871457575087,0.8880245785861753,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.8448907,2.2774315,-0.43254077
ETTh,0,54,decoder,0.06297353764391507,0.5039165,0.6279374,0.5623871457575087,0.8880245785861753,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.8448907,2.2774315,-0.43254077
ETTh,0,55,encoder,0.06656946998331045,0.5726783,0.67950875,0.5716320378704093,0.8835448932650588,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.9034876,2.3548348,-0.45134723
ETTh,0,55,decoder,0.06656946998331045,0.5726783,0.67950875,0.5716320378704093,0.8835448932650588,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.9034876,2.3548348,-0.45134723
ETTh,0,56,encoder,0.0660717994451931,0.5631618,0.6723713,0.5703571888376562,0.8841571549578566,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.6628133,2.2828784,-0.6200651
ETTh,0,56,decoder,0.0660717994451931,0.5631618,0.6723713,0.5703571888376562,0.8841571549578566,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.6628133,2.2828784,-0.6200651
ETTh,0,57,encoder,0.06594574661132313,0.56075144,0.6705636,0.5706420009748668,0.8844358696018458,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.9192868,2.4108615,-0.49157465
ETTh,0,57,decoder,0.06594574661132313,0.56075144,0.6705636,0.5706420009748668,0.8844358696018458,21,"[21, 12, 32, 10, 16, 64, 8, 2, 9]",1.9192868,2.4108615,-0.49157465
ETTh,0,58,encoder,0.06568865273827625,0.55583525,0.66687644,0.5690755550996353,0.8845695406354692,21,"[21, 12, 32, 10, 16, 64, 8, 9, 2]",2.3018374,2.3137093,-0.011871815
ETTh,0,58,decoder,0.06568865273827625,0.55583525,0.66687644,0.5690755550996353,0.8845695406354692,21,"[21, 12, 32, 10, 16, 64, 8, 9, 2]",2.3018374,2.3137093,-0.011871815
ETTh,0,59,encoder,0.06431693383445594,0.5296051,0.6472038,0.5661707591134462,0.8864001137480707,21,"[21, 12, 32, 10, 16, 64, 8, 9, 5]",2.1569247,2.1974194,-0.04049468
ETTh,0,59,decoder,0.06431693383445594,0.5296051,0.6472038,0.5661707591134462,0.8864001137480707,21,"[21, 12, 32, 10, 16, 64, 8, 9, 5]",2.1569247,2.1974194,-0.04049468
ETTh,0,60,encoder,0.06033711306086292,0.4535025,0.5901269,0.5544952235969104,0.8911855134306352,21,"[21, 12, 32, 10, 16, 64, 9, 8, 5]",2.1279027,2.240691,-0.1127882
ETTh,0,60,decoder,0.06033711306086292,0.4535025,0.5901269,0.5544952235969104,0.8911855134306352,21,"[21, 12, 32, 10, 16, 64, 9, 8, 5]",2.1279027,2.240691,-0.1127882
ETTh,0,61,encoder,0.06871453419587506,0.6136965,0.7102724,0.5770451329134046,0.8809200004011006,21,"[21, 32, 12, 10, 64, 16, 9, 7, 4]",1.5601059,2.1793437,-0.6192378
ETTh,0,61,decoder,0.06871453419587506,0.6136965,0.7102724,0.5770451329134046,0.8809200004011006,21,"[21, 32, 12, 10, 64, 16, 9, 7, 4]",1.5601059,2.1793437,-0.6192378
ETTh,0,62,encoder,0.06195167254037991,0.48437628,0.6132822,0.5638099677503723,0.8901195862365294,21,"[21, 32, 12, 10, 64, 9, 16, 7, 6]",2.4223115,2.1648624,0.25744915
ETTh,0,62,decoder,0.06195167254037991,0.48437628,0.6132822,0.5638099677503723,0.8901195862365294,21,"[21, 32, 12, 10, 64, 9, 16, 7, 6]",2.4223115,2.1648624,0.25744915
ETTh,0,63,encoder,0.08063327438929396,0.84160787,0.8812059,0.6039893852936511,0.8664988551908223,21,"[21, 32, 12, 10, 64, 9, 16, 7, 5]",1.3658835,1.3414862,0.024397254
ETTh,0,63,decoder,0.08063327438929396,0.84160787,0.8812059,0.6039893852936511,0.8664988551908223,21,"[21, 32, 12, 10, 64, 9, 16, 7, 5]",1.3658835,1.3414862,0.024397254
ETTh,0,64,encoder,0.0765710147458578,0.76392895,0.8229467,0.5965197249574631,0.8716370783022842,21,"[21, 32, 12, 64, 10, 9, 5, 8, 16]",1.978554,2.0866911,-0.10813713
ETTh,0,64,decoder,0.0765710147458578,0.76392895,0.8229467,0.5965197249574631,0.8716370783022842,21,"[21, 32, 12, 64, 10, 9, 5, 8, 16]",1.978554,2.0866911,-0.10813713
ETTh,0,65,encoder,0.09125891072612329,1.0,1.0,0.6233769521253993,0.8536055745805541,21,"[21, 32, 12, 64, 10, 8, 9, 5, 16]",2.3180482,2.3180482,0.0
ETTh,0,65,decoder,0.09125891072612329,1.0,1.0,0.6233769521253993,0.8536055745805541,21,"[21, 32, 12, 64, 10, 8, 9, 5, 16]",2.3180482,2.3180482,0.0
