dataset,window_index,origin_row,feature_index,feature_name,curvature,variation,robust_range,boundary_jump,normalized_boundary_jump,curvature_pct,variation_pct,range_pct,boundary_jump_pct,raw_boundary_jump_pct,typicality_distance,ts_mae,pets_mae,ts_crps,pets_crps,delta_mae,delta_crps,pets_improves_mae,pets_improves_crps,pets_improves_both,ground_truth_central_20_80,eligible,joint_gain,selected
ETTh,837,16515,0,HUFL,2.8077256285375163,3.3753647109191838,9.986699736118315,1.8759994506835938,0.10342581149632547,0.3025610482430018,0.024419297200714712,0.024419297200714712,0.6462179868969625,0.5172721858248958,0.7160417928537599,6.856420599797275,6.8266212091781195,5.446748436648631,5.7124346072785555,-0.4346202247282855,4.877885838131346,True,False,False,False,False,-2.22163280670153,False
ETTh,838,16516,0,HUFL,2.7774675498085637,3.3618192713360773,9.986699736118315,1.6750001907348633,0.09745427198757296,0.28469326980345444,0.023228111971411555,0.024419297200714712,0.6206075044669446,0.48243001786777845,0.7172109845025236,6.3001442289794785,8.090329934697365,4.929942157276673,7.306929582366138,28.414995604122353,48.21532077371321,False,False,False,False,False,-38.31515818891778,False
ETTh,839,16517,0,HUFL,2.749386917198858,3.31338528197815,9.872799885272979,0.5360002517700195,0.031185378133292082,0.26265634306134605,0.02144133412745682,0.022036926742108397,0.29064919594997024,0.21471113758189397,0.7467441775636717,6.121522177016596,7.435798563435673,5.030290099990671,6.566886939806864,21.469764356217812,30.546883167216194,False,False,False,False,False,-26.008323761717,False
ETTh,840,16518,0,HUFL,2.7342740249249244,3.2703741495226875,9.872799885272979,2.477999687194824,0.15446468198666782,0.2525312686122692,0.019058963668850508,0.022036926742108397,0.7784395473496128,0.5979749851101847,0.7736422521865768,6.374886382534169,6.74954379266128,4.887724264611024,5.674541264213622,5.8770837258149795,16.097818882694575,False,False,False,False,False,-10.987451304254778,False
ETTh,841,16519,0,HUFL,2.7450643422142154,3.2599836285236767,9.872799885272979,1.2060003280639648,0.07884699783192764,0.2596783799880881,0.01786777843954735,0.022036926742108397,0.5539011316259679,0.38683740321620014,0.7221911045565819,5.628819876961643,7.8759677887894215,4.202601542950724,6.853838566374034,39.92218548376711,63.08561485850091,False,False,False,False,False,-51.503900171134006,False
ETTh,842,16520,0,HUFL,2.742886919167734,3.268084088830476,9.872799885272979,0.33500003814697266,0.023585987375294864,0.25670041691483025,0.01846337105419893,0.022036926742108397,0.24419297200714712,0.14353782013103036,0.7648255664624244,5.734357117059699,7.874035360524431,4.528641274904512,6.912921584635042,37.31330644021444,52.64891089835335,False,False,False,False,False,-44.9811086692839,False
ETTh,843,16521,0,HUFL,2.7558385239493464,3.315308629636719,9.872799885272979,0.0,0.0,0.2692078618225134,0.022036926742108397,0.022036926742108397,0.014889815366289458,0.014889815366289458,0.863420118526402,4.990864750108448,7.498312353156507,3.7831557821884054,6.620222653103992,50.240744411949315,74.99207101840402,False,False,False,False,False,-62.61640771517666,False
ETTh,844,16522,0,HUFL,2.723419165418994,3.4049459939510607,9.986699736118315,0.0,0.0,0.24538415723645027,0.02561048243001787,0.024419297200714712,0.014889815366289458,0.014889815366289458,0.8668238217059381,4.900376103096642,6.637493691407144,3.700303034812678,5.546020148424431,35.44865846547542,49.88016106375974,False,False,False,False,False,-42.66440976461758,False
ETTh,845,16523,0,HUFL,2.726677232211636,3.4810621074619297,10.576299774646754,2.678999900817871,0.20093453179852028,0.2465753424657534,0.0273972602739726,0.029184038117927337,0.8588445503275759,0.6274568195354377,0.7987580909797651,4.513178649108158,6.527787518035621,3.4893085490009983,5.475814605392515,44.6383585840451,56.931223722254686,False,False,False,False,False,-50.7847911531499,False
ETTh,846,16524,0,HUFL,2.729919155759196,3.5108855947598077,10.576299774646754,0.7369999885559082,0.05527762341117901,0.2495533055390113,0.02799285288862418,0.029184038117927337,0.444907683144729,0.2727814175104229,0.7142948460055404,4.148799988074461,5.950514437584206,3.02439210254408,4.8353995393635705,43.42736344698932,59.880047805180226,False,False,False,False,False,-51.65370562608477,False
ETTh,847,16525,0,HUFL,2.7299191326864305,3.531576609396908,10.576299774646754,0.06699991226196289,0.005025231989291772,0.24895771292435973,0.02858844550327576,0.029184038117927337,0.07444907683144729,0.040798094103633116,0.829465093771724,4.169470303482376,5.097208219952882,2.896905726955738,4.152862460585311,22.25073807806358,43.355112385704594,False,False,False,False,False,-32.80292523188409,False
ETTh,848,16526,0,HUFL,2.73314495913444,3.591737549451352,10.733750116825103,1.6079998016357422,0.11979303010037129,0.25134008338296604,0.029184038117927337,0.030970815961882073,0.6998213222156046,0.4645622394282311,0.7371677966286826,4.146415244415403,5.4070056697935795,2.935124604396988,4.4894446134765165,30.40193398565188,52.95584408072715,False,False,False,False,False,-41.67888903318951,False
ETTh,849,16527,0,HUFL,2.7590643196336684,3.6315883640051587,10.733750116825103,0.13400030136108398,0.009982776190692256,0.2715902322811197,0.030375223347230494,0.030970815961882073,0.11971411554496725,0.07444907683144729,0.7983258621833353,4.138503880985081,5.0231042557396,3.0703411506081464,4.279214222617448,21.37488329584359,39.37259778998364,False,False,False,False,False,-30.373740542913612,False
ETTh,850,16528,0,HUFL,2.775290111380239,3.6254459252047657,10.733750116825103,1.808000087738037,0.13469268386199681,0.2829064919594997,0.029779630732578916,0.030970815961882073,0.741512805241215,0.5044669446098868,0.7392926331854419,3.7216304944595326,4.731227777246385,2.8684588778181928,3.8178556400164965,27.127821644031037,33.09779929355076,False,False,False,False,False,-30.112810468790897,False
ETTh,851,16529,0,HUFL,2.837935274647128,3.845582905563768,11.856000101566314,0.8710002899169922,0.060750436382549004,0.31983323406789754,0.03156640857653365,0.03335318642048839,0.47170935080405,0.30464562239428233,0.6858933609360567,3.789874313725159,5.28971455078572,2.8873819063371045,4.357965277945622,39.57493343852694,50.93137725844105,False,False,False,False,False,-45.253155348484,False
