family,dataset,sequence_length,model_seed,metric,value
PETS-U,ETTh,256,123,context_fid,1.525945280854065
PETS-U,ETTh,256,123,correlation_score,0.11765908151865005
PETS-U,ETTh,256,123,discriminative_score,0.2045934959349593
PETS-U,ETTh,256,123,predictive_score,0.11650160128641193
PETS-U,Energy,64,0,context_fid,0.9487599746515395
PETS-U,Energy,64,0,correlation_score,1.9364211797714233
PETS-U,Energy,64,0,discriminative_score,0.2886991869918699
PETS-U,Energy,64,0,predictive_score,0.2626096207721275
PETS-U,Energy,64,42,context_fid,0.9084731289593219
PETS-U,Energy,64,42,correlation_score,1.6005802392959594
PETS-U,Energy,64,42,discriminative_score,0.35524390243902443
PETS-U,Energy,64,42,predictive_score,0.25799707762950375
PETS-U,Energy,64,123,context_fid,0.9570867667384693
PETS-U,Energy,64,123,correlation_score,1.9274852991104126
PETS-U,Energy,64,123,discriminative_score,0.25353658536585366
PETS-U,Energy,64,123,predictive_score,0.2823318354254297
PETS-U,Energy,128,0,context_fid,1.5564508511288668
PETS-U,Energy,128,0,correlation_score,1.5402230739593505
PETS-U,Energy,128,0,discriminative_score,0.44711382113821135
PETS-U,Energy,128,0,predictive_score,0.32723302006609933
PETS-U,Energy,128,42,context_fid,1.708609263766278
PETS-U,Energy,128,42,correlation_score,1.5563996315002442
PETS-U,Energy,128,42,discriminative_score,0.46382113821138204
PETS-U,Energy,128,42,predictive_score,0.2785028518344916
PETS-U,Energy,128,123,context_fid,1.623009053332859
PETS-U,Energy,128,123,correlation_score,1.3995897054672242
PETS-U,Energy,128,123,discriminative_score,0.37203252032520323
PETS-U,Energy,128,123,predictive_score,0.28816507983283374
PETS-U,Energy,256,0,context_fid,2.1870271645576507
PETS-U,Energy,256,0,correlation_score,1.7832861185073852
PETS-U,Energy,256,0,discriminative_score,0.48081300813008127
PETS-U,Energy,256,0,predictive_score,0.4060888561948862
PETS-U,Energy,256,42,context_fid,2.1961244208413335
PETS-U,Energy,256,42,correlation_score,1.8381231784820558
PETS-U,Energy,256,42,discriminative_score,0.4791463414634146
PETS-U,Energy,256,42,predictive_score,0.33404538268951
PETS-U,Energy,256,123,context_fid,1.848930192968956
PETS-U,Energy,256,123,correlation_score,1.7754997968673707
PETS-U,Energy,256,123,discriminative_score,0.47264227642276424
PETS-U,Energy,256,123,predictive_score,0.3481852420794894
