family,dataset,sequence_length,model_seed,status,runtime_seconds,peak_memory_mb,measurement_source,checkpoint,checkpoint_sha256
Diffusion-TS,AirQuality,256,123,TRAIN_COMPLETE,2663.6533381938934,3573.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_123/checkpoints_256/checkpoint-10.pt,a5c3a4a8628092cea8bd95f005494bad23068fb536eaf1f272dfad0161dcf567
PETS-U,Energy,128,0,TRAIN_COMPLETE,3103.9068551063538,3277.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_0/checkpoints/checkpoint-10.pt,10ca6b4d171258c34fbab688ee1d0bed134438251dff46014519a4c0c3c7e97e
PETS-U,Energy,128,42,TRAIN_COMPLETE,3104.080909013748,3281.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_42/checkpoints/checkpoint-10.pt,81b9a963ec311c33358ad9fd62a57673cdad30f4b4e5e332e3bde87b96dc7e5f
PETS-U,Energy,128,123,TRAIN_COMPLETE,3104.028102874756,3171.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_123/checkpoints/checkpoint-10.pt,53e892f62f7dabcf89cdef3928cc897d2b1af9ac86e6c93276db042bf914a537
Diffusion-TS,Energy,128,0,TRAIN_COMPLETE,1675.7110829353333,1787.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_0/checkpoints_128/checkpoint-10.pt,bbf7b497e1ebb03483063ec9362cfa208c651dc924b7a5a82565e78dc678e858
Diffusion-TS,Energy,128,42,TRAIN_COMPLETE,1675.5230145454407,1787.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_42/checkpoints_128/checkpoint-10.pt,d85820f961cf5234658ea289f6aedafa4a94e0b4a9dbc15593e3f1e9567c8a69
Diffusion-TS,Energy,128,123,TRAIN_COMPLETE,1686.0653431415558,1787.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_123/checkpoints_128/checkpoint-10.pt,cde40fad788eaedce1960dd5e74e949a6654ba5b83dfa6f427f49c39568ec740
PETS-U,Energy,64,0,TRAIN_COMPLETE,1830.153204202652,1863.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_0/checkpoints/checkpoint-10.pt,bf523f5f818438118239656d968181cfe4f4ebd7f1659c1c11527ae0a882f536
PETS-U,Energy,64,42,TRAIN_COMPLETE,1830.1748695373535,2071.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_42/checkpoints/checkpoint-10.pt,d8f0b8ec197063acf4bd3e295e32aa1926d41a66e83a9d1968ad9b90887468db
PETS-U,Energy,64,123,TRAIN_COMPLETE,1830.1647872924805,2091.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_123/checkpoints/checkpoint-10.pt,6396a84c2a0ea97d0f8caf0fc02e6dd327edb4cdb82c242acd0fcb5e4549f877
Diffusion-TS,Energy,64,0,TRAIN_COMPLETE,1442.7427389621735,1159.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_0/checkpoints_64/checkpoint-10.pt,336c44c63d7e95e4394e0aeb794356758efc2fa900d695479c31cd691ecd6cf5
Diffusion-TS,Energy,64,42,TRAIN_COMPLETE,1442.7778098583221,1159.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_42/checkpoints_64/checkpoint-10.pt,6c1da7e6825becf3017c85e0b66a39e2cbc19e1af1c520acba34e6ad8a42c2b9
