dataset,system,seed,split,draws,windows,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,expected_sample_rmse,empirical_crps,normalized_energy_score,weighted_interval_score,picp_50,mpiw_50,interval_score_50,picp_80,mpiw_80,interval_score_80,picp_90,mpiw_90,interval_score_90,picp_95,mpiw_95,interval_score_95,mean_ensemble_std,median_ensemble_std,spread_skill_ratio,mean_absolute_coverage_error,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,boundary_jump_mae,spectral_log_amplitude_mae,acf_mae_lags_1_32,dominant_frequency_index_error,cross_correlation_phase_lag_mae
AirQuality,PETS_SHTRAIN_SH64_REC,42,FINAL_TEST,10,872,126.6374282836914,233.7906188964844,140.77166748046875,248.4297637939453,103.86429595947266,17.283958184280507,419.6042175292969,0.1941677019622834,85.28027491024896,452.63743614902063,0.3388940653669725,153.8621078235307,836.5054121978083,0.4075341647553517,188.5387004836724,1349.572937484474,0.4374143890163099,205.87699681409424,2364.155506838655,68.51679992675781,32.8701057434082,0.293069072874541,0.4429974197247706,55.102142333984375,68.58092498779297,244.37860107421875,0.6466352766046956,0.8736691449009882,38.364524841308594,0.4021699175754988,0.2650665942565733,1.1410550458715596,19.20412844036697
AirQuality,PETS_SHTRAIN_SH64_REC,123,FINAL_TEST,10,872,145.91659545898438,265.3949890136719,157.9153594970703,274.2850952148437,121.86277389526369,19.660203985298832,503.3101196289063,0.1668896534148827,82.24596832834828,529.3089324496746,0.2961861302242609,149.5598821174598,1012.1218502654002,0.361081246814475,184.6566973313592,1665.8801273443194,0.3917240061162079,202.20510493727687,2964.592313518179,67.33711242675781,34.59708404541016,0.253724128993592,0.4835297408575433,61.10422897338867,74.2046127319336,251.93194580078125,0.6326108764946685,0.8712832347367495,41.889915466308594,0.4204918755106248,0.2759793892588398,1.258664627930683,20.09722222222222
AirQuality,PETS_SHTRAIN_CG64_REC,0,FINAL_TEST,10,872,129.0604705810547,232.50509643554688,137.790283203125,242.27061462402344,108.55165100097656,18.078733204806746,455.456298828125,0.1399301573649337,65.60527397703122,468.6519432442808,0.2508780103211009,120.68143331506349,918.2328278073536,0.309338366462793,150.29205291847714,1543.8853543843893,0.3364372292303771,165.09736271942225,2786.078659634981,54.88733673095703,23.79403305053711,0.2360693919075982,0.5283540591551987,54.3157844543457,66.96266174316406,258.8374938964844,0.6468516900474087,0.8534227566144467,39.7388916015625,0.4326041089394997,0.2744041726772052,1.1634811416921509,20.65519877675841
AirQuality,PETS_SHTRAIN_CG64_REC,42,FINAL_TEST,10,872,135.37672424316406,251.6213531494141,146.25814819335938,259.3016357421875,112.12908172607422,18.04562913721363,463.21575927734375,0.1610442150866463,78.88266427250608,485.9660026080495,0.2855046667940876,142.17737298063363,926.9022996725852,0.3462386913863404,174.3241285775854,1538.1675454024064,0.3741399082568807,190.39750637659645,2746.3346685973243,63.23145294189453,30.30639266967773,0.2512960531785526,0.4957681296190112,54.36587905883789,66.39566802978516,248.28472900390625,0.6479701632606831,0.8609694260394967,39.20103073120117,0.4122886648486613,0.2693239618427747,1.1258919469928643,20.037079510703364
AirQuality,PETS_SHTRAIN_CG64_REC,123,FINAL_TEST,10,872,136.58290100097656,246.04428100585932,144.6846466064453,250.75596618652344,115.407958984375,18.35879228834017,488.8282775878906,0.1402307912844036,66.63702804652908,496.4370467389739,0.251542988659531,121.34468183935527,985.626336604798,0.306752118374108,150.01472107314828,1681.0200330129323,0.3328156855249745,164.34974069011776,3057.434895449589,54.397239685058594,27.60782241821289,0.2210871939907563,0.5296646040392456,56.26210784912109,68.80562591552734,253.2824249267578,0.6449464427293173,0.8648846530851425,40.63351058959961,0.4195933517837077,0.2775096232913543,1.194317023445464,20.36264016309888
ETTh,PETS_SELECTED_UNCALIBRATED,0,FINAL_TEST,10,1679,2.130256414413452,4.061062812805176,2.256309747695923,4.0837483406066895,1.842172533273697,13.72819449363294,7.931664943695068,0.1709576810176125,0.941205753421202,7.863839350224069,0.3018178869224879,1.71197388063592,16.044967635286106,0.3652910427124989,2.1223658704320867,27.941651546915782,0.3943022526163532,2.3275618653517576,51.52040794261988,0.7665126323699951,0.5262227058410645,0.1887468053813546,0.4794077841827618,1.069709300994873,1.4588720798492432,5.831761837005615,0.5979992950128235,0.8810587270134083,0.9202170968055724,0.4618693502146306,0.2153281829146455,0.5874244873649281,20.697268782438528
ETTh,PETS_SELECTED_UNCALIBRATED,42,FINAL_TEST,10,1679,2.0376088619232178,3.603047609329224,2.226625680923462,3.755173444747925,1.705151379108429,12.530997952809138,7.058987140655518,0.2117610929124478,1.195066028348777,7.380557911283402,0.3696955032757594,2.162086090552635,14.163473730199788,0.4462318131540883,2.6677561025793115,23.529931924432493,0.4795796817833744,2.9205911085701683,42.081377407982494,0.9618147611618042,0.6594486236572266,0.266944782708787,0.4106829772185825,1.0432641506195068,1.4686565399169922,5.806065082550049,0.5897190720640053,0.89434968480882,0.8252251148223877,0.4444429557896165,0.2157383410223833,0.499957457670382,20.25040415213137
ETTh,PETS_SELECTED_UNCALIBRATED,123,FINAL_TEST,10,1679,2.0032925605773926,3.66454553604126,2.1678919792175293,3.7190425395965576,1.694281667470932,12.977467770083932,7.097118854522705,0.2049662852037777,1.0953217765472685,7.302538966681803,0.3544879498851357,1.969656834136113,14.257827515888277,0.4257915532204543,2.418335276928194,24.067590393783448,0.4568501127371734,2.6426744983000043,43.48597562893691,0.8729016184806824,0.6405272483825684,0.2382018752108786,0.4269760247383647,1.0538110733032229,1.4704675674438477,5.87674617767334,0.5919407270551659,0.8930879691938409,0.7976752519607544,0.4526727877380649,0.2111584697265436,0.5827448311069514,20.65191865906577
Energy,PETS_SELECTED_UNCALIBRATED,0,FINAL_TEST,10,1910,6.310594081878662,22.112001419067383,6.569727420806885,19.90017890930176,5.636140286922455,29.260254105115106,25.05654525756836,0.0764932568249813,2.2604638963696644,23.6218028777629,0.131722139117427,3.936898148362157,50.6999980246351,0.15735847513089,4.719244766253859,92.45646047812288,0.1699502150336574,5.110418075213701,175.4774831888427,1.7562729120254517,0.2631155848503113,0.0794262300702912,0.653618978473261,2.535290479660034,3.974796772003174,37.39719772338867,0.3891091165960276,0.5311619320644085,3.323880672454834,0.3646769302816967,0.4429272808665541,1.8931937172774869,18.024289454001497
Energy,PETS_SELECTED_UNCALIBRATED,42,FINAL_TEST,10,1910,6.244630813598633,22.71495819091797,6.53306770324707,20.361143112182617,5.704130709171295,26.32787140559468,25.717029571533203,0.0960172026925953,2.104924704616495,23.684642654068387,0.1487182708489154,3.530384895994244,52.1075678230206,0.172651575355273,4.142604838798627,96.81344434226774,0.1844632339192221,4.448714810352009,185.87109537628749,1.5427451133728027,0.1947931945323944,0.0679175854256968,0.6370374292959985,2.5046749114990234,3.962137460708618,37.36232376098633,0.4036453324785412,0.5265484884412283,3.605935096740722,0.3779191981063269,0.4291428148057914,1.6834330590875093,17.651645474943905
Energy,PETS_SELECTED_UNCALIBRATED,123,FINAL_TEST,10,1910,5.894097805023193,21.564828872680664,6.11030912399292,19.571916580200195,5.322373986244202,26.68810506005469,23.849523544311523,0.0750391501495886,1.8513644061117709,22.27103121489156,0.1279894353029169,3.2978804684588026,48.41910172239704,0.1526505235602094,4.010188657537243,88.77280085444276,0.1648008017015707,4.366342752060545,169.08593590411778,1.4878690242767334,0.200650930404663,0.068995169544871,0.6573800223214286,2.4951138496398926,3.9303793907165527,37.16334915161133,0.3916616210183899,0.5317687862427131,3.245615005493164,0.3850884575275938,0.4421656414088332,1.6991959611069558,17.722980553477935
AirQuality,PETS_SELECTED_UNCALIBRATED,0,FINAL_TEST,10,872,129.0604705810547,232.50509643554688,137.790283203125,242.27061462402344,108.55165100097656,18.078733204806746,455.456298828125,0.1399301573649337,65.60527397703122,468.6519432442808,0.2508780103211009,120.68143331506349,918.2328278073536,0.309338366462793,150.29205291847714,1543.8853543843893,0.3364372292303771,165.09736271942225,2786.078659634981,54.88733673095703,23.79403305053711,0.2360693919075982,0.5283540591551987,54.3157844543457,66.96266174316406,258.8374938964844,0.6468516900474087,0.8534227566144467,39.7388916015625,0.4326041089394997,0.2744041726772052,1.1634811416921509,20.65519877675841
AirQuality,PETS_SELECTED_UNCALIBRATED,42,FINAL_TEST,10,872,135.37672424316406,251.6213531494141,146.25814819335938,259.3016357421875,112.12908172607422,18.04562913721363,463.21575927734375,0.1610442150866463,78.88266427250608,485.9660026080495,0.2855046667940876,142.17737298063363,926.9022996725852,0.3462386913863404,174.3241285775854,1538.1675454024064,0.3741399082568807,190.39750637659645,2746.3346685973243,63.23145294189453,30.30639266967773,0.2512960531785526,0.4957681296190112,54.36587905883789,66.39566802978516,248.28472900390625,0.6479701632606831,0.8609694260394967,39.20103073120117,0.4122886648486613,0.2693239618427747,1.1258919469928643,20.037079510703364
AirQuality,PETS_SELECTED_UNCALIBRATED,123,FINAL_TEST,10,872,136.58290100097656,246.04428100585932,144.6846466064453,250.75596618652344,115.407958984375,18.35879228834017,488.8282775878906,0.1402307912844036,66.63702804652908,496.4370467389739,0.251542988659531,121.34468183935527,985.626336604798,0.306752118374108,150.01472107314828,1681.0200330129323,0.3328156855249745,164.34974069011776,3057.434895449589,54.397239685058594,27.60782241821289,0.2210871939907563,0.5296646040392456,56.26210784912109,68.80562591552734,253.2824249267578,0.6449464427293173,0.8648846530851425,40.63351058959961,0.4195933517837077,0.2775096232913543,1.194317023445464,20.36264016309888
ETTh,PETS_SELECTED,0,FINAL_TEST,10,1679,2.130256414413452,4.061062812805176,2.256309747695923,4.0837483406066895,1.842172533273697,13.72819449363294,7.931664943695068,0.1709576810176125,0.941205753421202,7.863839350224069,0.3018178869224879,1.71197388063592,16.044967635286106,0.3652910427124989,2.1223658704320867,27.941651546915782,0.3943022526163532,2.3275618653517576,51.52040794261988,0.7665126323699951,0.5262227058410645,0.1887468053813546,0.4794077841827618,1.069709300994873,1.4588720798492432,5.831761837005615,0.5979992950128235,0.8810587270134083,0.9202170968055724,0.4618693502146306,0.2153281829146455,0.5874244873649281,20.697268782438528
ETTh,PETS_SELECTED,42,FINAL_TEST,10,1679,2.0376088619232178,3.603047609329224,2.226625680923462,3.755173444747925,1.705151379108429,12.530997952809138,7.058987140655518,0.2117610929124478,1.195066028348777,7.380557911283402,0.3696955032757594,2.162086090552635,14.163473730199788,0.4462318131540883,2.6677561025793115,23.529931924432493,0.4795796817833744,2.9205911085701683,42.081377407982494,0.9618147611618042,0.6594486236572266,0.266944782708787,0.4106829772185825,1.0432641506195068,1.4686565399169922,5.806065082550049,0.5897190720640053,0.89434968480882,0.8252251148223877,0.4444429557896165,0.2157383410223833,0.499957457670382,20.25040415213137
ETTh,PETS_SELECTED,123,FINAL_TEST,10,1679,2.0032925605773926,3.66454553604126,2.1678919792175293,3.7190425395965576,1.694281667470932,12.977467770083932,7.097118854522705,0.2049662852037777,1.0953217765472685,7.302538966681803,0.3544879498851357,1.969656834136113,14.257827515888277,0.4257915532204543,2.418335276928194,24.067590393783448,0.4568501127371734,2.6426744983000043,43.48597562893691,0.8729016184806824,0.6405272483825684,0.2382018752108786,0.4269760247383647,1.0538110733032229,1.4704675674438477,5.87674617767334,0.5919407270551659,0.8930879691938409,0.7976752519607544,0.4526727877380649,0.2111584697265436,0.5827448311069514,20.65191865906577
Energy,PETS_SELECTED,0,FINAL_TEST,10,1910,6.310594081878662,22.112001419067383,6.569727420806885,19.90017890930176,5.636140286922455,29.260254105115106,25.05654525756836,0.0764932568249813,2.2604638963696644,23.6218028777629,0.131722139117427,3.936898148362157,50.6999980246351,0.15735847513089,4.719244766253859,92.45646047812288,0.1699502150336574,5.110418075213701,175.4774831888427,1.7562729120254517,0.2631155848503113,0.0794262300702912,0.653618978473261,2.535290479660034,3.974796772003174,37.39719772338867,0.3891091165960276,0.5311619320644085,3.323880672454834,0.3646769302816967,0.4429272808665541,1.8931937172774869,18.024289454001497
Energy,PETS_SELECTED,42,FINAL_TEST,10,1910,6.244630813598633,22.71495819091797,6.53306770324707,20.361143112182617,5.704130709171295,26.32787140559468,25.717029571533203,0.0960172026925953,2.104924704616495,23.684642654068387,0.1487182708489154,3.530384895994244,52.1075678230206,0.172651575355273,4.142604838798627,96.81344434226774,0.1844632339192221,4.448714810352009,185.87109537628749,1.5427451133728027,0.1947931945323944,0.0679175854256968,0.6370374292959985,2.5046749114990234,3.962137460708618,37.36232376098633,0.4036453324785412,0.5265484884412283,3.605935096740722,0.3779191981063269,0.4291428148057914,1.6834330590875093,17.651645474943905
