system,model_seed,reverse_region,timestep,call_index,site,operation,anchor_weight_mass,complement_weight_mass,anchor_norm,complement_residual_norm,fraction_projected,near_zero_skip_fraction,pre_projection_cosine,post_projection_cosine,removed_opposing_norm_ratio,removed_opposing_energy_ratio,retained_complement_norm,full_to_aa_delta_norm,aa_to_fa_delta_norm,effective_branch_count,maximum_weight,top1_top2_margin,dominant_period,active_period_count,decomposition_identity_max_abs_error,maximum_post_projection_violation
PETS_U_BF_EAA_DFULL,2,high_noise,490,0,encoder,ANTI_ANCHOR,0.8576083648949862,0.1423916394360276,4.11972409838927,0.2906677866528753,0.700927734375,0.0,-0.2245708550513878,0.0684777822906196,0.2930485426922224,0.1657046069970463,0.2575393894483397,0.0919716309687498,0.2575393894483397,1.4208020344376564,0.8575834119692445,0.7639537807554007,6.25,6.0,2.9802322387695312e-08,1.1920928955078125e-07
PETS_U_BF_EAA_DFULL,2,high_noise,490,0,decoder,FULL,0.6742251850664616,0.325774832861498,2.1773772804590408,0.3851050446432964,0.0,0.0,-0.3312561549121078,-0.3312561549121078,0.0,0.0,0.3851050446432964,0.0,0.3851050446432964,1.9309434816241264,0.6735905595123768,0.4369741110131144,18.84375,5.0,2.2351741790771484e-08,3.2909722328186035
PETS_U_BF_EFULL_DAA,2,high_noise,490,0,encoder,FULL,0.8576083648949862,0.1423916394360276,4.11972409838927,0.2906677866528753,0.0,0.0,-0.2245708550513878,-0.2245708550513878,0.0,0.0,0.2906677866528753,0.0,0.2906677866528753,1.4208020344376564,0.8575834119692445,0.7639537807554007,6.25,6.0,2.9802322387695312e-08,12.330695152282717
PETS_U_BF_EFULL_DAA,2,high_noise,490,0,decoder,ANTI_ANCHOR,0.6745140962302685,0.3254859093576669,2.1747869038081262,0.3842588805000559,0.865234375,0.0,-0.3313142959514579,0.0184223765638387,0.3497366625270217,0.1823347557103751,0.3429262613180981,0.1355949907275158,0.3429262613180981,1.930074106901884,0.6738789631053805,0.4374039992690086,18.84375,5.0,2.2351741790771484e-08,2.9802322387695312e-08
PETS_U_BF_EAA_DAA,2,high_noise,490,0,encoder,ANTI_ANCHOR,0.8576083648949862,0.1423916394360276,4.11972409838927,0.2906677866528753,0.700927734375,0.0,-0.2245708550513878,0.0684777822906196,0.2930485426922224,0.1657046069970463,0.2575393894483397,0.0919716309687498,0.2575393894483397,1.4208020344376564,0.8575834119692445,0.7639537807554007,6.25,6.0,2.9802322387695312e-08,1.1920928955078125e-07
PETS_U_BF_EAA_DAA,2,high_noise,490,0,decoder,ANTI_ANCHOR,0.6742251850664616,0.325774832861498,2.1773772804590408,0.3851050446432964,0.864990234375,0.0,-0.3312561549121078,0.0184736297417247,0.3497297759117614,0.1823294853899753,0.3436829258184843,0.135891665979198,0.3436829258184843,1.9309434816241264,0.6735905595123768,0.4369741110131144,18.84375,5.0,2.2351741790771484e-08,2.9802322387695312e-08
PETS_U_BF_EFULL_DFULL,2,middle,250,0,encoder,FULL,0.9602474328130484,0.0397525631560711,9.910790062858725,0.1751951375856748,0.0,0.0,-0.1828517478439408,-0.1828517478439408,0.0,0.0,0.1751951375856748,0.0,0.1751951375856748,1.0871000066399574,0.9602474328130484,0.939927838742733,6.0,6.0,1.1175870895385742e-08,8.313762664794922
PETS_U_BF_EFULL_DFULL,2,middle,250,0,decoder,FULL,0.9662851244211196,0.0337148714897921,2.4433719236403704,0.046813518906049,0.0,0.0,-0.6128073100797948,-0.6128073100797948,0.0,0.0,0.046813518906049,0.0,0.046813518906049,1.072530746459961,0.9662851244211196,0.9484427385032176,25.0,5.0,3.725290298461914e-09,0.5475651025772095
PETS_U_BF_EAA_DFULL,2,middle,250,0,encoder,ANTI_ANCHOR,0.9602474328130484,0.0397525631560711,9.910790062858725,0.1751951375856748,0.6328125,0.0,-0.1828517478439408,0.1002787504531164,0.2831304331805029,0.1638677617038044,0.1587331181109448,0.0475396901981968,0.1587331181109448,1.0871000066399574,0.9602474328130484,0.939927838742733,6.0,6.0,1.1175870895385742e-08,5.960464477539064e-08
PETS_U_BF_EAA_DFULL,2,middle,250,0,decoder,FULL,0.9662134014070034,0.0337866046756971,2.4442722439125646,0.0468904951791842,0.0,0.0,-0.6127216199665888,-0.6127216199665888,0.0,0.0,0.0468904951791842,0.0,0.0468904951791842,1.072690423578024,0.9662134014070034,0.9483364075422288,25.0,5.0,3.725290298461914e-09,0.5469468832015991
PETS_U_BF_EFULL_DAA,2,middle,250,0,encoder,FULL,0.9602474328130484,0.0397525631560711,9.910790062858725,0.1751951375856748,0.0,0.0,-0.1828517478439408,-0.1828517478439408,0.0,0.0,0.1751951375856748,0.0,0.1751951375856748,1.0871000066399574,0.9602474328130484,0.939927838742733,6.0,6.0,1.1175870895385742e-08,8.313762664794922
PETS_U_BF_EFULL_DAA,2,middle,250,0,decoder,ANTI_ANCHOR,0.9662851244211196,0.0337148714897921,2.4433719236403704,0.046813518906049,0.9873046875,0.0,-0.6128073100797948,0.0015334072614627,0.6143405664433548,0.4168391888845735,0.0352861907878718,0.0282746049536215,0.0352861907878718,1.072530746459961,0.9662851244211196,0.9484427385032176,25.0,5.0,3.725290298461914e-09,5.587935447692871e-09
PETS_U_BF_EAA_DAA,2,middle,250,0,encoder,ANTI_ANCHOR,0.9602474328130484,0.0397525631560711,9.910790062858725,0.1751951375856748,0.6328125,0.0,-0.1828517478439408,0.1002787504531164,0.2831304331805029,0.1638677617038044,0.1587331181109448,0.0475396901981968,0.1587331181109448,1.0871000066399574,0.9602474328130484,0.939927838742733,6.0,6.0,1.1175870895385742e-08,5.960464477539064e-08
PETS_U_BF_EAA_DAA,2,middle,250,0,decoder,ANTI_ANCHOR,0.9662134014070034,0.0337866046756971,2.4442722439125646,0.0468904951791842,0.9873046875,0.0,-0.6127216199665888,0.0015309158443011,0.6142523854738684,0.4167248226586582,0.0353431764665401,0.0283235969469977,0.0353431764665401,1.072690423578024,0.9662134014070034,0.9483364075422288,25.0,5.0,3.725290298461914e-09,3.725290298461914e-09
PETS_U_BF_EFULL_DFULL,2,clean,0,0,encoder,FULL,0.5465182671323419,0.4534817552193999,3.812545436871005,0.7433462496883294,0.0,0.0,-0.5693384270267243,-0.5693384270267243,0.0,0.0,0.7433462496883294,0.0,0.7433462496883294,3.1597960889339447,0.5063397279009223,0.3202342363074422,41.09375,6.0,2.2351741790771484e-08,8.023719787597656
