system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error,first_difference_distribution_error,second_difference_distribution_error,lag1_autocorrelation_error,lag2_autocorrelation_error
PETS_U_BF_EAA_DFULL,123,100004,0.0014357225106966,0.0169567737125762,0.018226907395487,0.0075636159103879,0.0123391877117827,0.0614163145727041,0.0081030750118947,0.0132026739712063,0.0169294220174518,0.0206724793669745
PETS_U_BF_EFULL_DAA,0,100000,0.0013785859300831,0.0132603238897892,0.0172855435991996,0.0073545567897052,0.0121887147365439,0.0680515695861678,0.0078726352937035,0.012824663393445,0.0165272925155075,0.0198355406650172
PETS_U_BF_EFULL_DAA,0,100001,0.0014028215321235,0.0151312387017374,0.0179008549517185,0.0076008782208747,0.0125467796602725,0.0679259008290816,0.0081947937899833,0.0134352000281884,0.0174239673379373,0.0210246046297701
PETS_U_BF_EFULL_DAA,0,100002,0.0013949264334139,0.0142179863944393,0.0171582803643507,0.007514452685043,0.0123853676891586,0.0676861890589569,0.0080940664855392,0.01318919299071,0.016929820110207,0.0205703893914943
PETS_U_BF_EFULL_DAA,0,100003,0.0013792551783722,0.0154835359149304,0.0174583149489953,0.0074791483829073,0.0122973597962186,0.0677872223107993,0.0080683012259054,0.013177054547287,0.0164761951686666,0.0198649996993474
PETS_U_BF_EFULL_DAA,0,100004,0.0014020198448734,0.0169155080490868,0.0174065765678853,0.0075023939706074,0.0124445970126028,0.0688196991035998,0.0080981067127876,0.0133531637724105,0.0175594293032689,0.0217211136223999
PETS_U_BF_EFULL_DAA,1,100000,0.0013040721535872,0.0123768616546579,0.0146028636080458,0.0070421016152304,0.0117842303797559,0.0671987382192461,0.0077050078597876,0.0127105643060002,0.0173945123078764,0.0212556768564985
PETS_U_BF_EFULL_DAA,1,100001,0.0013240517784809,0.0128196218435328,0.0153646322891487,0.0072625832017307,0.0120636539254537,0.0667586207660148,0.0079085428414049,0.0129299297397072,0.0180811436178741,0.0223447474615858
PETS_U_BF_EFULL_DAA,1,100002,0.0013129376907181,0.0118111250250925,0.0143098091129128,0.0072016050039276,0.0119994732044974,0.0670149407419218,0.0078151336067563,0.0129794631697736,0.0180255115762617,0.0221904018898479
PETS_U_BF_EFULL_DAA,1,100003,0.0013061635281647,0.0133039824275929,0.0147601095180804,0.0071889516475824,0.0118989316055025,0.0660170643778345,0.007823388694645,0.0128761151218628,0.0174143857658582,0.0215141349739572
PETS_U_BF_EFULL_DAA,1,100004,0.001327531820339,0.0152124683624633,0.0149724809797112,0.0071834421545202,0.0120003214895623,0.0672388747165533,0.0078548462852076,0.0128284560457154,0.0179716394128648,0.0223212974393672
PETS_U_BF_EFULL_DAA,2,100000,0.0014065852069768,0.0134089214853768,0.0161344257181817,0.0074994566093421,0.0127816724317039,0.07408726837089,0.0080522144651198,0.0136852254028563,0.0173584173738608,0.0199567873021973
PETS_U_BF_EFULL_DAA,2,100001,0.0014321012852501,0.0140739987701823,0.0168480567044604,0.007716756725127,0.01307200815333,0.0743020678323413,0.0082807104074276,0.0141115960501409,0.0181735647683784,0.0213007780774134
PETS_U_BF_EFULL_DAA,2,100002,0.0014167936706423,0.0128585957445279,0.0157537832129113,0.0076245684425411,0.0129311088618531,0.0740831163194444,0.008214342819644,0.0138511052818803,0.0181861471680112,0.021640911703404
PETS_U_BF_EFULL_DAA,2,100003,0.0013973334381671,0.0122383832231928,0.0163048295987445,0.0075894699272395,0.0128371010912332,0.0736081216340703,0.0081304891093091,0.0137648228966332,0.0175816789999221,0.020658009670202
PETS_U_BF_EFULL_DAA,2,100004,0.0014372405948634,0.0158845111024602,0.0168329510045277,0.0076559348990048,0.0130054955979392,0.0745730583900227,0.0081843760617665,0.0139324298562346,0.0179913280964362,0.0211774565341006
PETS_U_BF_EFULL_DAA,42,100000,0.0014353173707015,0.0104642880922345,0.0179716750091373,0.0075988443163386,0.0130149040332204,0.0763891656923186,0.0081948693267829,0.0139009219281501,0.0180714194884028,0.0213563510614512
PETS_U_BF_EFULL_DAA,42,100001,0.001457529187921,0.0131354749325022,0.0190868136645981,0.007783493971378,0.0132491591149124,0.0768890726863662,0.0084098153158977,0.0141772776463708,0.0184633201791075,0.0217891073962221
PETS_U_BF_EFULL_DAA,42,100002,0.0014430563654898,0.0113526352850392,0.0176703389853573,0.0076982666967023,0.0131220028335399,0.0764644562251984,0.008327795579955,0.0140403933241948,0.01837996260251,0.0220167833823257
PETS_U_BF_EFULL_DAA,42,100003,0.0014245571371084,0.0135474924314035,0.0182323418239221,0.0076697473553707,0.0130679370092792,0.0764381598993764,0.0083119935635384,0.013927173681639,0.0176210028337413,0.0203971531192165
PETS_U_BF_EFULL_DAA,42,100004,0.0014570585093264,0.010952120185191,0.0180496827118591,0.0077090166654738,0.0132244507006301,0.0774811552225057,0.0083251698186228,0.0141103898227274,0.0189422756788613,0.0229636239113861
