family,system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
PETS_U,PETS_U_BF_ANTI_ANCHOR,0,100003,0.0013931826600723182,0.016419918262296128,0.01726295427489877,0.007153574017666635,0.01176254602562278,0.06559189430980733
PETS_U,PETS_U_BF_ANTI_ANCHOR,0,100004,0.0014011698883998884,0.01640359096244283,0.01789636433355544,0.007184609817778305,0.011848247935902605,0.065929317690618
PETS_U,PETS_U_BF_ANTI_ANCHOR,1,100000,0.0013017846729070329,0.013873127209924683,0.016538109314407197,0.006480927562752696,0.010870717852034084,0.06358977510274949
PETS_U,PETS_U_BF_ANTI_ANCHOR,1,100001,0.001294967425613324,0.011651470740063523,0.015964417985132675,0.006526628295010366,0.010955258460050118,0.06413203302154202
PETS_U,PETS_U_BF_ANTI_ANCHOR,1,100002,0.001296911783074511,0.013627971672799617,0.015565710315849312,0.006571898789843829,0.011107395148183978,0.06522125451743205
PETS_U,PETS_U_BF_ANTI_ANCHOR,1,100003,0.0013111556762660397,0.013686482509728707,0.015152245867187554,0.006600726060234992,0.011061401347516542,0.06488964400864516
PETS_U,PETS_U_BF_ANTI_ANCHOR,1,100004,0.0013156608044194316,0.017232694503359992,0.015601749352013281,0.0065778719720978145,0.011059691759832402,0.06483649775014177
PETS_U,PETS_U_BF_ANTI_ANCHOR,2,100000,0.0014294417208948608,0.013699472742343961,0.015007267882020047,0.007345036284227894,0.012584387801641964,0.07326433177437647
PETS_U,PETS_U_BF_ANTI_ANCHOR,2,100001,0.0014300279668408703,0.01587790560625155,0.015651038264580294,0.007425817376930675,0.012704667729349084,0.0738566911139456
PETS_U,PETS_U_BF_ANTI_ANCHOR,2,100002,0.0014228308414933088,0.014850554028015849,0.014806625991619301,0.007432278391100524,0.01276843299052708,0.07435853573200119
PETS_U,PETS_U_BF_ANTI_ANCHOR,2,100003,0.001432948835123839,0.012871729587121324,0.01415480005142281,0.0073773362852406175,0.012661045397344417,0.07481055573270978
PETS_U,PETS_U_BF_ANTI_ANCHOR,2,100004,0.0014604542322881628,0.018420291153138323,0.015289139641809085,0.007549543794991169,0.012893695513402706,0.07465443859835608
PETS_U,PETS_U_BF_ANTI_ANCHOR,42,100000,0.001441934488426008,0.009785008706602002,0.01788833792187295,0.007193024021700214,0.012524512636432499,0.0766106084360828
PETS_U,PETS_U_BF_ANTI_ANCHOR,42,100001,0.0014419016131635707,0.010627328166152302,0.018005422119166895,0.007230907357602911,0.012575421426866823,0.07689405514810094
PETS_U,PETS_U_BF_ANTI_ANCHOR,42,100002,0.0014347423707911423,0.010971828025966687,0.01741497122310257,0.00728397336041102,0.0127560143632039,0.07808375628897396
PETS_U,PETS_U_BF_ANTI_ANCHOR,42,100003,0.0014414851464296203,0.010624995979050594,0.01688173399544389,0.007273628595399002,0.01270488225134056,0.07792597833404202
PETS_U,PETS_U_BF_ANTI_ANCHOR,42,100004,0.0014516651519414186,0.011597141929397424,0.017399240360186467,0.00730567882969586,0.012803129290788494,0.07870794802295922
PETS_U,PETS_U_BF_ANTI_ANCHOR,123,100000,0.0013668592892329414,0.014739599732759479,0.01664712777863878,0.006917146274563787,0.01158654009572034,0.062252537733843594
PETS_U,PETS_U_BF_ANTI_ANCHOR,123,100001,0.0013616738686836832,0.01482694321530646,0.017061133230228488,0.006956482336871964,0.01157168425053516,0.06203469343466561
PETS_U,PETS_U_BF_ANTI_ANCHOR,123,100002,0.001373671497521156,0.0132201680613092,0.016838182249165477,0.007029101736370485,0.011719476691994628,0.06257418331916104
PETS_U,PETS_U_BF_ANTI_ANCHOR,123,100003,0.0013736188522965583,0.011427211228059673,0.016378086571588513,0.007010358354698456,0.011635316641705945,0.06229710308602615
PETS_U,PETS_U_BF_ANTI_ANCHOR,123,100004,0.001391094672612186,0.018165201029203566,0.017005193103395978,0.00706645287927752,0.011754522901942295,0.06320612554917804
